Northwestern Division Missouri River Basin Water Management,
Mainstem and Tributary Reservoir Bulletin,
Project Data Date/Time: 12-09-2021 00:00,
Last Updated Date/Time: 12-09-2021 15:18,
Project,Project Information,Current Data,Occupied Storage,
 ,Elevations (ft),Cumulative Storage (ac-ft),Elev
(ft),Daily Elev Change (ft),Storage
(ac-ft),Inflow
(cfs),Release
(cfs),MP
(%),FC
(ac-ft),FC
(%),
MP,FC,MP,FC,
MRR - Missouri River Mainstem Projects
Fort Peck Dam,2234.0,2250.0,14788340,18462840,2226.48,-0.07,13276000,6000,8700,89.8,0,0.0,
Garrison Dam,1837.5,1854.0,17744640,23451300,1829.25,-0.02,15333000,12000,16700,86.4,0,0.0,
Oahe Dam,1607.5,1620.0,18667635,22982900,1596.41,0.09,15466000,18000,12300,82.8,0,0.0,
Big Bend Dam,1420.0,1423.0,1631474,1810414,1420.66,-0.10,1671000,14000,15000,100.0,39526,22.1,
Fort Randall Dam,1350.0,1375.0,3000732,5293473,1337.96,0.12,2219000,14000,9800,73.9,0,0.0,
Gavins Point Dam,1204.5,1210.0,295406,428033,1207.46,-0.04,363000,12000,12000,100.0,67594,51.0,
System Totals,--,--,56128227,72428960,--,--,48328000,--,--,86.1,0,0.0,
NWO - USBR Section 7 Projects
Tiber Dam,2993.0,3012.5,925648,1328723,2984.72,0.09,787637,177,477,85.1,0,0.0,
Clark Canyon Dam,5546.1,5560.4,174367,253443,5520.50,0.07,67921,132,25,39.0,0,0.0,
Canyon Ferry Dam,3797.0,3800.0,1886950,1993036,3779.81,-0.10,1341408,3667,2951,71.1,0,0.0,
Boysen Dam,4725.0,4732.2,741594,892226,4719.41,-0.04,637999,258,700,86.0,0,0.0,
Buffalo Bill Dam*,5393.5,--,646565,--,5358.52,-0.02,390202,196,197,60.4,--,--,
Yellowtail Dam,3640.0,3657.0,1011052,1263682,3630.12,-0.15,897565,1294,2053,88.8,0,0.0,
Jamestown Dam,1431.0,1454.0,30488,220990,1426.12,0.02,20877,17,0,68.5,0,0.0,
Heart Butte Dam,2064.5,2094.5,67142,214169,2057.01,0.00,44927,22,9,66.9,0,0.0,
Keyhole Dam,4099.3,4111.5,188671,329134,4091.85,0.00,127870,0,0,67.8,0,0.0,
Pactola Dam,4580.2,4621.5,55975,99038,4575.68,-0.02,52186,44,48,93.2,0,0.0,
Shadehill Dam,2272.0,2302.0,120172,350176,2261.34,-0.01,74459,-19,17,62.0,0,0.0,
Glendo Dam,4635.0,4653.0,492022,763039,4606.44,0.18,225255,M,M,45.8,0,0.0,
NWO - USACE Tributary Projects
Bowman-Haley Dam,2754.8,2777.0,17469,89207,2748.32,0.01,8596,94,89,49.2,0,0.0,
Pipestem Dam,1442.5,1496.3,8354,143394,1441.96,0.00,7914,3,3,94.7,0,0.0,
Chatfield Dam,5432.0,5500.0,27076,233061,5432.92,0.02,28391,33,22,100.0,1315,0.6,
Cherry Creek Dam,5550.0,5598.0,12558,91852,5548.67,0.00,11470,20,19,91.3,0,0.0,
Bear Creek Dam,5558.0,5635.5,1758,30354,5557.18,-0.08,1676,6,10,95.3,0,0.0,
Papillion Creek Dam 11,1121.0,1142.0,3015,16588,1121.42,0.00,3160,8,8,100.0,145,1.1,
Papillion Creek Dam 16,1104.0,1121.0,1141,4673,1103.95,0.00,1135,0,0,99.5,0,0.0,
