Northwestern Division Omaha District,
Mainstem and Tributary Reservoir Bulletin,
Project Data Date/Time: 11-23-2020 00:00,
Last Updated Date/Time: 11-23-2020 14:47,
Project,Project Information,Current Data,Occupied Storage,
 ,Elevations (ft),Cumulative Stor (ac-ft),Elev
(ft),Daily Elev Change (ft),Storage
(ac-ft),Inflow
(cfs),Release
(cfs),MP
(%),FC
(ac-ft),FC
(%),
MP,FC,MP,FC,
Missouri River Mainstem Projects
Fort Peck Dam,2234.0,2250.0,14788340,18462840,2237.24,-0.06,15484000,6000,5800,100.0,695660,18.9,
Garrison Dam,1837.5,1854.0,17744640,23451300,1838.89,-0.19,18196000,15000,13200,100.0,451360,7.9,
Oahe Dam,1607.5,1620.0,18667635,22982900,1606.91,-0.23,18498000,14000,13900,99.1,0,0.0,
Big Bend Dam,1420.0,1423.0,1631474,1810414,1420.93,0.04,1690000,14000,10400,100.0,58526,32.7,
Fort Randall Dam,1350.0,1375.0,3000732,5293473,1338.38,-0.73,2242000,11000,29500,74.7,0,0.0,
Gavins Point Dam,1204.5,1210.0,295406,428033,1207.13,-0.13,352000,33000,34100,100.0,56594,42.7,
System Totals,--,--,56128227,72428960,--,--,56462000,--,--,100.0,333773,2.0,
USBR Section 7 Projects
Tiber Dam,2993.0,3012.5,925648,1328723,2986.03,-0.01,807442,471,549,87.2,0,0.0,
Clark Canyon Dam,5546.1,5560.4,174367,253443,5532.00,0.06,108486,194,52,62.2,0,0.0,
Canyon Ferry Dam,3797.0,3800.0,1886950,1993036,3786.78,0.04,1550418,3171,3642,82.2,0,0.0,
Boysen Dam,4725.0,4732.2,741594,892226,4714.93,-0.03,564610,667,743,76.1,0,0.0,
Buffalo Bill Dam*,5393.5,--,646565,--,5366.05,0.03,440212,307,204,68.1,--,--,
Yellowtail Dam,3640.0,3657.0,1011052,1263682,3632.99,0.00,926213,2037,2037,91.6,0,0.0,
Jamestown Dam,1431.0,1454.0,30488,220990,1429.87,-0.01,27958,-11,0,91.7,0,0.0,
Heart Butte Dam,2064.5,2094.5,67142,214169,2059.68,0.01,52246,39,10,77.8,0,0.0,
Keyhole Dam,4099.3,4111.5,188671,329134,4095.13,0.00,152333,-39,0,80.7,0,0.0,
Pactola Dam,4580.2,4621.5,55975,99038,4577.09,-0.02,53345,41,53,95.3,0,0.0,
Shadehill Dam,2272.0,2302.0,120172,350176,2268.35,-0.03,102750,-46,0,85.5,0,0.0,
Glendo Dam,4635.0,4653.0,492022,763039,4611.52,0.16,263649,M,M,53.6,0,0.0,
Corps Tributary Projects
Bowman-Haley Dam,2754.8,2777.0,17469,89207,2750.45,-0.02,11019,-13,0,63.1,0,0.0,
Pipestem Dam,1442.5,1496.3,8354,143394,1442.89,0.01,8674,26,22,100.0,320,0.2,
Chatfield Dam,5444.0,5500.0,47658,233061,5429.58,-0.03,23805,13,30,49.9,0,0.0,
Cherry Creek Dam,5550.0,5598.0,12558,91852,5548.16,0.01,11067,14,10,88.1,0,0.0,
Bear Creek Dam,5558.0,5635.5,1758,30354,5552.39,0.00,1221,2,2,69.5,0,0.0,
Papillion Creek Dam 11,1121.0,1142.0,3015,16588,POOL IS DRAWN DOWN FOR LAKE REHABILITATION,
Papillion Creek Dam 16,1104.0,1121.0,1141,4673,1103.77,0.00,1114,0,0,97.6,0,0.0,
Papillion Creek Dam 18,1110.0,1128.2,2781,10257,1109.71,-0.01,2711,-2,0,97.5,0,0.0,
Papillion Creek Dam 20,1095.8,1113.1,2309,8512,1093.97,-0.02,1888,-2,0,81.8,0,0.0,
Cottonwood Springs Dam & Res,3875.0,3936.0,901,8548,3862.99,-0.01,480,0,0,53.3,0,0.0,
Cold Brook Dam,3585.0,3651.4,691,7492,3585.49,0.00,710,3,3,100.0,19,0.3,
Lake Audubon at Garrison Dam,1847.0,--,336869,--,1845.01,0.04,INFLOW AND OUTFLOW NOT CALCULATED,
Lake Pocasse at Oahe Dam,1617.0,--,10999,--,POOL ELEVATION READ MONTHLY BY PROJECT OFFICE,
Salt Creek Dam 2,1335.0,1350.0,1100,4957,1334.14,-0.01,966,-1,0,87.8,0,0.0,
Salt Creek Dam 4,1307.4,1322.5,2343,9258,1306.60,0.00,2109,0,0,90.0,0,0.0,
Salt Creek Dam 8,1287.8,1302.0,1780,8375,1287.68,0.00,1749,0,0,98.3,0,0.0,
Salt Creek Dam 9,1271.1,1285.0,1451,5864,1270.96,0.00,1423,0,0,98.1,0,0.0,
Salt Creek Dam 10,1244.9,1262.0,1629,7468,1244.45,0.01,1537,1,0,94.4,0,0.0,
Salt Creek Dam 12,1232.9,1252.0,1808,9415,POOL IS DRAWN DOWN FOR LAKE REHABILITATION,
Salt Creek Dam 13,1341.0,1355.0,2161,7189,1339.79,-0.01,1886,-1,0,87.3,0,0.0,
Salt Creek Dam 14,1244.3,1263.5,7500,27597,1242.96,-0.01,6558,9,12,87.4,0,0.0,
Salt Creek Dam 17,1242.4,1266.0,808,6628,1242.15,-0.01,777,-1,0,96.2,0,0.0,
Salt Creek Dam 18,1284.0,1311.0,25088,96759,1283.64,0.00,24435,0,0,97.4,0,0.0,
